fps,p_rad,days_r,dm,d_t_d,d_prob,h_i_t,vac_p,inf_p,i_rad,pop,t_inf,n_inf,imm,sus,dec,frames, seed
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.95, 0.97, 5, 1000, 1, 0, 956, 44, 0, 80,  1
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.95, 0.97, 5, 1000, 1, 0, 958, 42, 0, 80,  2
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.95, 0.97, 5, 1000, 1, 0, 955, 45, 0, 80,  3
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.95, 0.97, 5, 1000, 1, 0, 958, 42, 0, 80,  4
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.95, 0.97, 5, 1000, 1, 0, 952, 48, 0, 80,  5
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.95, 0.97, 5, 1000, 1, 0, 949, 51, 0, 80,  6
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.95, 0.97, 5, 1000, 2, 0, 947, 53, 0, 87,  7
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.95, 0.97, 5, 1000, 2, 0, 949, 51, 0, 121,  8
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.95, 0.97, 5, 1000, 3, 0, 940, 59, 1, 177,  9
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.95, 0.97, 5, 1000, 1, 0, 944, 56, 0, 80,  10
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.95, 0.97, 5, 1000, 2, 0, 944, 56, 0, 150,  11
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.95, 0.97, 5, 1000, 1, 0, 956, 44, 0, 80,  12
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.95, 0.97, 5, 1000, 2, 0, 958, 42, 0, 95,  13
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.95, 0.97, 5, 1000, 1, 0, 950, 50, 0, 80,  14
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.95, 0.97, 5, 1000, 1, 0, 943, 57, 0, 80,  15
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.95, 0.97, 5, 1000, 4, 0, 960, 39, 1, 161,  16
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.95, 0.97, 5, 1000, 1, 0, 945, 55, 0, 80,  17
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.95, 0.97, 5, 1000, 1, 0, 943, 57, 0, 80,  18
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.95, 0.97, 5, 1000, 3, 0, 947, 53, 0, 175,  19
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.95, 0.97, 5, 1000, 1, 0, 943, 57, 0, 80,  20
