fps,p_rad,days_r,dm,d_t_d,d_prob,h_i_t,vac_p,inf_p,i_rad,pop,t_inf,n_inf,imm,sus,dec,frames, seed
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 1, 0, 720, 280, 0, 80,  1
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 1, 0, 713, 287, 0, 80,  2
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 141, 0, 870, 109, 21, 1110,  3
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 157, 0, 844, 131, 25, 1031,  4
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 8, 0, 719, 280, 1, 234,  5
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 5, 0, 710, 289, 1, 247,  6
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 8, 0, 718, 281, 1, 199,  7
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 183, 0, 877, 93, 30, 1184,  8
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 130, 0, 838, 152, 10, 720,  9
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 48, 0, 756, 235, 9, 477,  10
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 3, 0, 713, 287, 0, 150,  11
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 2, 0, 728, 272, 0, 90,  12
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 93, 0, 796, 190, 14, 829,  13
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 117, 0, 812, 171, 17, 800,  14
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 137, 0, 856, 127, 17, 1081,  15
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 8, 0, 716, 282, 2, 204,  16
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 200, 0, 889, 88, 23, 1087,  17
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 3, 0, 691, 309, 0, 146,  18
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 5, 0, 688, 312, 0, 163,  19
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 2, 0, 693, 307, 0, 155,  20
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 139, 0, 825, 150, 25, 611,  21
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 5, 0, 719, 281, 0, 168,  22
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 2, 0, 694, 306, 0, 98,  23
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 187, 0, 863, 112, 25, 1062,  24
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 2, 0, 688, 312, 0, 114,  25
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 3, 0, 716, 283, 1, 155,  26
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 20, 0, 725, 272, 3, 345,  27
